PART,NB. OF ELEMENTS,Percentage Increased
89175455,4,0.0
89175530,2,0.0
89175550,6,0.0
89175570,2,0.0
89175590,6,0.0
89175680,16,0.0
89175700,7,0.0
89175720,6,0.0
89175740,8,0.0
89175760,6,0.0
89175780,4,0.0
89175860,16,0.0
89175880,7,0.0
89175900,6,0.0
89175920,8,0.0
89175940,6,0.0
89175960,4,0.0
89175992,9,0.0
89176012,9,0.0
89176045,1,0.0
89176055,1,0.0
89176075,1,0.0
89176085,1,0.0
89176105,1,0.0
89176115,1,0.0
89176135,1,0.0
89176145,1,0.0
89176270,1,0.0
89176290,1,0.0
89176320,3,0.0
89176340,6,0.0
89176360,4,0.0
89176380,2,0.0
89176410,3,0.0
89176440,13,0.0
89176460,4,0.0
89176480,5,0.0
89176500,7,0.0
89176520,3,0.0
89176540,1,0.0
89176560,5,0.0
89176580,5,0.0
89176600,6,0.0
89176620,7,0.0
89176640,3,0.0
89176660,1,0.0
89176690,4,0.0
89176710,17,0.0
89176730,17,0.0
89176750,4,0.0
89176780,15,0.0
89176800,4,0.0
89176820,15,0.0
89176840,1,0.0
89176860,1,0.0
89176880,15,0.0
89176900,4,0.0
89176920,15,0.0
89176955,6,0.0
89176965,6,0.0
89176985,5,0.0
89176995,5,0.0
89177015,5,0.0
89177025,5,0.0
89177045,6,0.0
89177055,6,0.0
89177080,6,0.0
89177100,1,0.0
89177120,15,0.0
89177140,1,0.0
89177160,6,0.0
89177180,1,0.0
89177200,15,0.0
89177232,57,0.0
89177252,38,0.0
89177272,58,0.0
89177292,35,0.0
89177325,6,0.0
89177335,6,0.0
89177355,3,0.0
89177365,3,0.0
89177385,6,0.0
89177395,6,0.0
89177415,3,0.0
89177425,3,0.0
89177450,2,0.0
89177490,10,0.0
89177510,2,0.0
89177550,10,0.0
89177582,3,0.0
89177602,4,0.0
89177622,5,0.0
89177662,3,0.0
89177682,4,0.0
89177702,5,0.0
89177755,1,0.0
89177765,1,0.0
89177815,1,0.0
89177825,1,0.0
89177880,7,0.0
89177900,1,0.0
89177920,7,0.0
89177940,1,0.0
89177975,2,0.0
89177985,2,0.0
89178005,2,0.0
89178015,2,0.0
89178040,2,0.0
89178060,3,0.0
89178080,2,0.0
89178100,2,0.0
89178120,3,0.0
89178140,2,0.0
89178170,4,0.0
89178200,4,0.0
89178230,10,0.0
89178250,2,0.0
89178270,17,0.0
89178290,3,0.0
89178310,4,0.0
89178330,7,0.0
89178350,1,0.0
89178370,3,0.0
89178390,2,0.0
89178410,3,0.0
89178430,1,0.0
89178450,5,0.0
89178470,10,0.0
89178490,2,0.0
89178510,19,0.0
89178530,3,0.0
89178550,4,0.0
89178570,7,0.0
89178590,1,0.0
89178610,3,0.0
89178630,2,0.0
89178650,3,0.0
89178670,1,0.0
89178690,5,0.0
89178710,12,0.0
89178730,2,0.0
89178750,4,0.0
89178770,16,0.0
89178790,18,0.0
89178810,38,0.0
89178842,3,0.0
89178862,3,0.0
89178895,1,0.0
89178905,1,0.0
89178925,1,0.0
89178935,1,0.0
89178955,1,0.0
89178965,1,0.0
89178985,1,0.0
89178995,1,0.0
89179015,1,0.0
89179025,1,0.0
89179045,3,0.0
89179055,3,0.0
89179075,4,0.0
89179085,4,0.0
89179105,2,0.0
89179115,2,0.0
89179135,2,0.0
89179145,2,0.0
89179165,1,0.0
89179175,1,0.0
89179195,1,0.0
89179205,1,0.0
89179225,1,0.0
89179235,1,0.0
89179255,1,0.0
89179265,1,0.0
89179285,1,0.0
89179295,1,0.0
89179315,3,0.0
89179325,3,0.0
89179345,4,0.0
89179355,4,0.0
89179375,2,0.0
89179385,2,0.0
89179405,2,0.0
89179415,2,0.0
89179435,3,0.0
89179445,3,0.0
89179465,4,0.0
89179475,4,0.0
89179500,2,0.0
89179520,1,0.0
89179540,2,0.0
89179560,4,0.0
89179580,5,0.0
89179600,4,0.0
89179620,2,0.0
89179640,1,0.0
89179660,2,0.0
89179680,4,0.0
89179700,5,0.0
89179720,4,0.0
89179740,21,0.0
89179775,1,0.0
89179785,1,0.0
89179805,1,0.0
89179815,1,0.0
89179835,1,0.0
89179845,1,0.0
89179865,1,0.0
89179875,1,0.0
89179895,1,0.0
89179905,1,0.0
89179925,1,0.0
89179935,1,0.0
89179955,1,0.0
89179965,1,0.0
89179985,1,0.0
89179995,1,0.0
89180020,2,0.0
89180040,2,0.0
89180070,24,0.0
89180105,2,0.0
89180115,2,0.0
89180135,2,0.0
89180145,2,0.0
89180170,30,0.0
89180200,4,0.0
89180220,7,0.0
89180240,4,0.0
89180260,7,0.0
59720010,0,0.0
59720020,0,0.0
59720030,0,0.0
59720040,7316,0.0
59720050,7316,0.0
59720060,7316,0.0
59720070,4316,0.0
59720080,7324,280.1948051948052
59720090,15452,0.0
59720100,3781,26.083815028901736
59720110,2659,6.817090734517511
59720120,25949,12.013165112452008
59720130,25736,9.845847836897065
59720140,24,41.7
59720150,4316,0.0
59720160,7324,280.1948051948052
59720170,15452,0.0
59720180,3781,26.04768786127167
59720190,2659,6.817090734517511
59720200,25949,12.013165112452008
59720210,25736,9.845847836897065
59720220,24,41.7
59720230,7324,280.1948051948052
59720240,15452,0.0
59720250,4316,0.0
59720260,24,41.7
59720270,2659,6.817090734517511
59720280,3781,26.083815028901736
59720290,25949,12.013165112452008
59720300,25736,9.845847836897065
59399959,30,2.083876009377436
59399960,50,3.3665835411471305
59399961,625,19.66677556354134
59399962,1730,0.4151404151404236
59399963,42,10.694736842105264
59399964,407,23.202959830866803
59399965,694,0.0
59399966,1,inf
59399967,26,428.380187416332
59399968,26,428.380187416332
59399969,65,428.4817484305975
59399970,28,428.3864004317323
59399971,1,0.0
59399972,1,inf
59399973,2,inf
59399974,1,0.0
59399975,3,477.1084337349397
59399976,5,800.6176305446378
59399977,6,335.8266911914981
59399978,3,335.92887798896385
59399979,384,861.5555885408936
59399980,384,861.5555885408936
59399981,570,568.1636726546907
59399982,570,567.6646706586827
59399983,696,0.0786163522012683
59399984,1710,0.0
59399985,694,0.0
59399986,696,0.2358490566037878
59399987,694,0.0
59399988,894,0.0
59399989,1727,0.0
59399990,1644,0.0
59399991,924,0.0
59399992,1727,0.0
59399993,1644,0.0
