PART,MTYP,NB. OF ELEMENTS,INPUT     ELEM. MASS,ADDED INIT MASS SCALE,ADDED DYN. MASS SCALE,ADDED NON-STRU. MASS,ADDED   MASSTRIM,ADDED NODAL MASS,FINAL     ELEM. MASS,FINAL NODAL MASS,Percentage Increased
350000,105,6975,1.348,5.022e-06,0.002369,0.0,0.0,0.0,1.351,1.388,0.2225519287833747
350100,105,5417,1.763,0.0,0.0,0.0,0.0,0.0,1.763,1.77,0.0
350300,105,4097,0.9631,3.17e-05,0.0008793,0.0,0.0,0.0,0.964,0.983,0.0934482400581468
350400,105,4040,0.6107,2.773e-06,0.00754,0.0,0.0,0.0,0.6182,0.6355,1.2280989028983054
350600,105,170,0.06718,0.0,0.0,0.0,0.0,0.0,0.06718,0.06718,0.0
350701,105,4126,0.7527,0.0,0.01391,0.0,0.0,0.0,0.7666,0.8019,1.846685266374374
350900,105,6124,1.973,1.268e-05,0.0,0.0,0.0,0.0,1.973,1.989,0.0
360000,105,5013,1.536,0.0,0.007774,0.0,0.0,0.0,1.544,1.593,0.5208333333333338
360001,105,31,0.009319,0.0,0.0005057,0.0,0.0,0.0,0.009825,0.01126,5.429767142397266
360300,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360350,105,166,0.02669,0.0,0.0,0.0,0.0,0.0,0.02669,0.02669,0.0
370000,105,8131,1.537,0.0,0.01175,0.0,0.0,0.0,1.549,1.585,0.7807417046193891
370005,105,198,0.06544,0.0,0.0,0.0,0.0,0.0,0.06544,0.06544,0.0
370010,105,2720,0.4296,2.781e-08,0.001384,0.0,0.0,0.0,0.431,0.437,0.3258845437616416
370020,105,7936,1.798,1.371e-06,0.0003352,0.0,0.0,0.0,1.799,1.809,0.0556173526140094
370040,105,3312,0.7237,0.0,0.0008999,0.0,0.0,0.0,0.7246,0.7336,0.1243609230344081
370090,105,5550,2.296,3.313e-05,2.58e-05,0.0,0.0,0.0,2.296,2.335,0.0
370100,105,3079,0.5507,6.088e-05,0.003462,0.0,0.0,0.0,0.5542,0.5614,0.6355547485019174
370120,105,417,0.1774,0.0,0.0,0.0,0.0,0.0,0.1774,0.1799,0.0
370130,105,5518,1.222,0.0,0.004492,0.0,0.0,0.0,1.226,1.244,0.3273322422258595
370135,105,2845,1.111,4.314e-06,0.0001568,0.0,0.0,0.0,1.111,1.121,0.0
370150,105,2061,0.4516,0.0,0.001398,0.0,0.0,0.0,0.453,0.4718,0.3100088573959283
370160,105,3207,0.593,0.0,0.0,0.0,0.0,0.0,0.593,0.593,0.0
370220,105,3172,1.486,2.525e-06,0.0,0.0,0.0,0.0,1.486,1.498,0.0
370240,105,983,0.338,0.0,3.816e-05,0.0,0.0,0.0,0.338,0.3508,0.0
370250,105,790,0.1528,0.0,0.003007,0.0,0.0,0.0,0.1558,0.1642,1.963350785340316
370260,105,1034,0.2867,0.0,0.002447,0.0,0.0,0.0,0.2892,0.3049,0.8719916288803635
370261,105,48,0.03129,0.0,0.0,0.0,0.0,0.0,0.03129,0.02865,0.0
370262,100,4,0.000785,0.0,0.0,0.0,0.0,0.0,0.000785,0.000785,0.0
370270,105,220,0.07088,0.0,0.0,0.0,0.0,0.0,0.07088,0.07088,0.0
370300,105,825,0.2211,0.0,0.004151,0.0,0.0,0.0,0.2253,0.2521,1.899592944369068
370800,105,746,0.2616,0.0,0.0,0.0,0.0,0.0,0.2616,0.2616,0.0
371030,105,40662,6.062,8.494e-05,0.09823,0.0,0.0,0.0,6.16,6.321,1.616628175519628
371100,105,1772,0.2602,0.0,0.006585,0.0,0.0,0.0,0.2668,0.2726,2.5365103766333568
371200,105,5579,0.8076,1.365e-05,0.0164,0.0,0.0,0.0,0.824,0.8476,2.030708271421492
372000,105,1149,0.1717,1.923e-07,0.006534,0.0,0.0,0.0,0.1782,0.19,3.785672684915554
372100,105,1139,0.1527,0.0,0.009136,0.0,0.0,0.0,0.1618,0.1748,5.959397511460378
372200,105,325,0.06973,0.0,0.0001435,0.0,0.0,0.0,0.06987,0.07318,0.200774415603042
372300,105,1174,0.4305,0.0,0.0,0.0,0.0,0.0,0.4305,0.4305,0.0
376000,105,2313,0.9357,0.0,8.842e-05,0.0,0.0,0.0,0.9358,0.9465,0.0106871860639081
376010,105,5954,1.176,0.0,0.003652,0.0,0.0,0.0,1.18,1.209,0.340136054421769
377000,105,526,0.06943,1.456e-05,0.0,0.0,0.0,0.0,0.06945,0.06945,0.0288059916462512
378000,105,1338,0.6452,1.915e-05,4.876e-06,0.0,0.0,0.0,0.6452,0.6782,0.0
391000,105,998,0.3335,0.0,0.0,0.0,0.0,0.0,0.3335,0.3335,0.0
410030,105,65043,9.231,7.555e-06,0.05183,0.0,0.0,0.0,9.283,9.435,0.5633192503520702
410031,105,208,0.09419,0.0,0.0,0.0,0.0,0.0,0.09419,0.08568,0.0
